name,type,country,corridors,description
"3D Glass Solutions Inc. (3DGS)","Foreign Supplier","US","semiconductors","3D Glass Solutions: India's first advanced 3D glass-based chip packaging unit at Bhubaneswar, Odisha"
"3D Glass Substrates","Private Company","US","semiconductors","3D Glass Solutions (3DGS), a US semiconductor technology company founded in 2005, developing glass-core and high-density interconnect substrates. Intel-backed; building a US$3.3bn substrate plant at Bhubaneswar-Khurda, Odisha."
"Aarti Industries — Electronic Materials Division","Private Company","IN","semiconductors","Indian specialty intermediates; potential photoresist precursor supplier"
"Aarti Industries — Specialty Chemicals","Private Company","IN","semiconductors","Indian specialty intermediates; potential precursor supplier"
"Adani Defence & Aerospace","Private Company","IN","defence","UAVs / defence integration. Based in Ahmedabad, Gujarat; stage: Conglomerate. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"Adani Logistics Limited","Private Company","IN","semiconductors","Adani Logistics: Mundra port-led logistics; bonded warehousing"
"Adani Total Gas Ltd","Joint Venture","IN","semiconductors","Adani-Total gas JV; industrial gas pipeline"
"AdaniConneX","Private Company","IN","","AdaniConneX is a data-centre joint platform with hyperscale sites across Chennai, Hyderabad, Navi Mumbai, Noida and Pune."
"AdaniConneX Chennai 1","Facility / Plant","IN","ai_infrastructure","AdaniConneX Chennai 1 is live at 17 MW in phase 1 and scales to 33 MW IT load at full capacity, according to Adani's annual-report data-centre section"
"AdaniConneX Noida facility","Facility / Plant","IN","ai_infrastructure","AdaniConneX lists its Noida facility at 150 MW potential IT load, with phase 1 live in January 2025."
"AdaniConneX Private Limited","Joint Venture","IN","ai_infrastructure","Adani x EdgeConneX JV; ~$100bn AI-DC pledge anchored by Google (Visakhapatnam) and Microsoft."
"Aditya Birla Chemicals","Private Company","IN","semiconductors","Indian chlor-alkali and specialty chemicals"
"Advanced Micro Devices, Inc.","Foreign Supplier","US","ai_infrastructure; semiconductors","Only credible accelerator alternative to Nvidia (MI300X/MI350); empanelled under IndiaAI but a hedge, not an escape."
"Advanced Research Chemicals (ARC)","Private Company","IN","semiconductors","Indian specialty gas manufacturer; fluorine compounds"
"Advanced System in Package Technologies Pvt Ltd (ASIP)","Joint Venture","IN","semiconductors","ASIP Technologies: JV with APACT Co. Ltd (Korea); FCBGA Package and Wire Bond packaging"
"Advanced Systems Laboratory","Research Institution","IN","defence","ASL; Hyderabad; Agni strategic missile family, submarine-launched K-series."
"Advantest Corporation","Foreign Supplier","JP","semiconductors","ATE duopoly with Teradyne; memory test leader"
"Aeronautical Development Agency","Research Institution","IN","defence","DRDO design house holding design authority for Tejas and AMCA — the IP node even where private primes build."
"Aeronautical Development Establishment","Research Institution","IN","defence","ADE; Bengaluru; UAVs (Rustom-II/Tapas-BH, Nishant), LCA flight control, weapon integration."
"Aerospace composites & carbon fibre","Technology","IN","defence","Layup capability exists; PAN precursor and high-modulus fibre imported."
"AESA radar & GaN T/R modules","Technology","IN","defence","Uttam AESA indigenous; GaN T/R module fabrication still partly imported."
"Agatsa Technology","Private Company","IN","ai_medtech","Agatsa site describes SanketLife pocket ECG; BIRAC supported."
"AI accelerators (GPU)","Technology","","ai_infrastructure","AI accelerators are the primary compute chips for model training and inference."
"AI cluster networking fabric","Technology","","ai_infrastructure","AI cluster fabrics connect thousands of accelerators."
"AI Infrastructure Ecosystem","Ecosystem","IN","ai_infrastructure","The AI Infrastructure Ecosystem is the corridor-3 graph layer covering data centres, sovereign compute, GPU supply, HBM memory, advanced packaging, ne"
"AI, autonomy & target recognition","Technology","IN","defence","Software is India's comparative strength; ATR, swarm and mission-autonomy competitive."
"AIL Dixon Technologies Pvt Ltd","Private Company","IN","","Electronics — surveillance systems, DVRs, laptops, tablets. Corridor-node tenant/investor documented in Techadyant corridor dossiers (DPIIT/NICDC-sourced)."
"Air India","Private Company","IN","enterprise_software","Tata-owned carrier; migrated core ERP to RISE with SAP (2023) off a decade-old mainframe — finance, HR, commercial, ops, engineering. (Tender drew an SAP/IBM probe, 2024.)"
"Air Liquide","Foreign Supplier","FR","semiconductors","Specialty gases and wet chemicals for fabs. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Air Liquide India","Private Company","IN","semiconductors","Major on-site gas generation supplier for fabs globally and in India"
"Air Products","Foreign Supplier","US","semiconductors","Specialty gases for fabs. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Air Products — Electronic Gases","Foreign Supplier","US","semiconductors","Electronic specialty gases; silane, dopants"
"Air Products India","Private Company","IN","semiconductors","Major global gas supplier with India operations"
"Aixtron SE","Foreign Supplier","DE","semiconductors","MOCVD equipment leader for compound semiconductors"
"All India Institute of Medical Sciences, New Delhi","Research Institution","IN","ai_medtech","AIIMS Delhi partners with multiple AI MedTech startups for clinical validation."
"Amara Raja Energy & Mobility Ltd (ARACT)","Private Company","IN","critical_minerals","India's #2 lead-acid battery maker; building one of India's first lithium-ion cell gigafactories via wholly-owned subsidiary Amara Raja Advanced Cell"
"Amara Raja Giga Corridor, Divitipalli","Industrial Park / Node","IN","critical_minerals","265-acre lithium-ion cell manufacturing corridor at Divitipalli, Mahbubnagar district, Telangana."
"Amazon Web Services","Private Company","US","ai_infrastructure; enterprise_software","AWS operates India cloud regions and is expanding cloud and AI infrastructure."
"Amazon Web Services India (healthcare AI)","Private Company","US","ai_medtech","AWS Health website describes services; Indian healthcare AI startups hosted on AWS."
"Amber Enterprises — EMS Division","Private Company","IN","semiconductors","Amber Enterprises EMS: leading Indian EMS; INR 48,000 crore chip packaging and PCB investment plans"
"Amber Enterprises (IL JIN Electronics)","Private Company","IN","ai_medtech","Amber/IL JIN is a major Indian EMS provider with capability to support MedTech manufacturing."
"Amber Enterprises India","Private Company","IN","semiconductors","EMS / PCB. Based in Gurugram, Haryana; stage: Listed. Named in the company directory of Who Builds India's Drones? (Techadyant Labs, 2026)."
"AMD","Foreign Supplier","US","ai_infrastructure","AMD is NVIDIA's main merchant GPU challenger in AI data-centre accelerators."
"Amkor Technology","Foreign Supplier","US","semiconductors","Top-3 OSAT. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Amkor Technology Inc.","Foreign Supplier","KR","semiconductors","Largest OSAT globally; potential India expansion candidate"
"Analog Devices","Foreign Supplier","US","ai_medtech","Precision ADC, instrumentation amplifiers, medical signal chain."
"Andes Technology","Foreign Supplier","TW","semiconductors","RISC-V IP vendor. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"Antimony","Mineral / Material","IN","critical_minerals","Flame retardants, lead-acid batteries, semiconductor dopants. China mine production = 60,000 t of 100,000 t world total in 2024 (60% share)."
"Applied Materials — Assembly Equipment","Foreign Supplier","US","semiconductors","Wafer-level packaging equipment"
"Applied Materials Inc.","Foreign Supplier","US","semiconductors","World's largest wafer-fab-equipment maker; India fabs fully import-dependent on AMAT process tools."
"Aravind Eye Care System","Research Institution","IN","ai_medtech","Aravind Eye Care System deployed Google's DR AI in clinical setting — published in JAMA Ophthalmology."
"Argentina","Country","AR","critical_minerals","Lithium triangle partner; host to KABIL's 5-block lithium exploration agreement (15,703 ha, Catamarca province) signed 15 Jan 2024 with state-owned CA"
"Arista Networks","Foreign Supplier","US","ai_infrastructure","Arista Networks is a major Ethernet switching supplier for cloud and AI data centres."
"Artelus","Private Company","IN","ai_medtech","Artelus official site describes DRISHTI; pi Ventures-led funding reported by YourStory."
"Ascent Circuits","Private Company","IN","ai_medtech","Ascent Circuits is a multi-layer PCB manufacturer in Tamil Nadu."
"ASE Technology","Foreign Supplier","TW","semiconductors","World's largest OSAT. Named in the incumbent map of The Opportunity Beyond the Fab (Techadyant Labs, 2026)."
"ASM Technologies — Semiconductor Division","Private Company","IN","semiconductors","ASM Technologies semiconductor division: advises semiconductor equipment manufacturers on wafer metallization, packaging"
"ASML Holding NV","Foreign Supplier","NL","semiconductors","Global lithography monopoly; supplies DUV tools to Dholera. India's advanced-patterning depends entirely on ASML."
